"ObservationDate","Province/State","Country/Region","Confirmed","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Doses_admin","People_partially_vaccinated","People_fully_vaccinated","Prediction (Confirmed)"
"2021-02-10","La Libertad","Peru",41459,-34.42857142857143,-11.5,-36.142857142857146,-51.714285714285715,-24.125,14,20437,20437,0,68992.97465997683
"2021-02-10","Coahuila","Mexico",62434,-24,-7,-40,-32,-24,9,724707,640115,84592,64696.73530889119
"2021-02-10","Hidalgo","Mexico",33097,-35,-8,-55,-51,-38,15,724707,640115,84592,33550.083620769154
"2021-02-10","Himachal Pradesh","India",58076,-20.636363636363637,14.1,-13.833333333333334,9,-10.666666666666666,8.181818181818182,7017114,7017114,0,54408.74701094058
"2021-02-10","Hiroshima","Japan",4916,-12,-3,-6,-27,-7,3,0,0,0,2311.472801334824
"2021-02-10","Hokkaido","Japan",18228,-13,-3,-29,-23,-9,4,0,0,0,12854.66911996307
"2021-02-10","Huanuco","Peru",24036,-50.666666666666664,-40.5,-58.666666666666664,-72.33333333333333,-41.666666666666664,21,20437,20437,0,30980.978696434933
"2021-02-10","Hyogo","Japan",17382,-13,1,-5,-25,-11,5,0,0,0,11036.88587814963
"2021-02-10","Ibaraki","Japan",5249,-11,-1,-2,-26,-6,4,0,0,0,2429.4302721050635
"2021-02-10","Ica","Peru",37642,-60,-29.25,-55,-66,-37.4,19.2,20437,20437,0,64861.462293350065
"2021-02-10","Iwate","Japan",518,1,6,-6,-17,0,1,0,0,0,699.8996451634014
"2021-02-10","Jalisco","Mexico",73393,-30,-9,-41,-24,-30,10,724707,640115,84592,81012.6243907791
"2021-02-10","Jammu and Kashmir","India",125052,269,462,216,402,158,6,7017114,7017114,0,119562.51567907872
"2021-02-10","Jharkhand","India",119161,-16.32,44.2,-5.130434782608695,2.68,-9.04,8.32,7017114,7017114,0,119575.04114418579
"2021-02-10","Junin","Peru",37876,-57.6,-40,-49.333333333333336,-66.42857142857143,-36.44444444444444,24,20437,20437,0,46921.06818031703
"2021-02-10","Kagawa","Japan",706,-9,-1,-11,-21,-4,2,0,0,0,1166.0467061810955
"2021-02-10","Kagoshima","Japan",1685,-7,-2,-10,-23,-3,2,0,0,0,1480.9897438046744
"2021-02-10","Kanagawa","Japan",42772,-16,0,-5,-30,-20,10,0,0,0,25287.98858207269
"2021-02-10","Karnataka","India",943627,-17.193548387096776,41.43333333333333,-14.32258064516129,0.5483870967741935,-8.32258064516129,7.419354838709677,7017114,7017114,0,904604.6099028641
"2021-02-10","Kerala","India",983374,-18.133333333333333,33.333333333333336,0.375,-9.875,-12.4375,8.866666666666667,7017114,7017114,0,681226.9976769056
"2021-02-10","Khyber Pakhtunkhwa","Pakistan",68972,16,38,4,25,4,-5,27228,27228,0,129137.5502066831
"2021-02-10","Kochi","Japan",864,-13,-5,-1,-19,-6,2,0,0,0,848.7430117171457
"2021-02-10","Kumamoto","Japan",3393,-10,-1,-7,-22,-9,3,0,0,0,1774.9017415776423
"2021-02-10","Kyoto","Japan",8825,-15,-1,-8,-30,-12,5,0,0,0,4853.962346925167
"2021-02-10","Choco","Colombia",6436,-26.5,-15.5,9,-36.5,-19,5,0,0,0,9168.737167483427
"2021-02-10","Hessen","Germany",178780,-56,-13,-9,-54,-34,15,3785820,2528079,1257741,169523.32134308034
"2021-02-10","Haryana","India",268677,-15.5,14.227272727272727,-26.181818181818183,-15.545454545454545,-13.772727272727273,5.318181818181818,7017114,7017114,0,293486.233548378
"2021-02-10","Ishikawa","Japan",1598,-8,2,-18,-32,-5,3,0,0,0,1307.2527727080994
"2021-02-10","Gunma","Japan",4178,-10,-1,-9,-25,-8,4,0,0,0,2095.6575396248422
"2021-02-10","Hamburg","Germany",48273,-59,-9,15,-52,-42,18,3785820,2528079,1257741,45609.57496434322
"2021-02-10","Coquimbo","Chile",18282,-22.5,5.75,-22.25,-19.333333333333332,-12.75,11,1409162,1356507,52655,25900.471490106873
"2021-02-10","Cordoba","Colombia",34764,-31,4,-26.875,-34.666666666666664,-14.2,6.833333333333333,0,0,0,32392.160155149257
"2021-02-10","Cundinamarca","Colombia",100712,-26.38888888888889,1.2857142857142858,-26.344827586206897,-16.666666666666668,-10.54054054054054,12.529411764705882,0,0,0,73495.99179443586
"2021-02-10","Cusco","Peru",30820,-44.333333333333336,-30,-31,-57,-22.5,18.666666666666668,20437,20437,0,35097.29498139236
"2021-02-10","Delhi","India",636387,-27.25,9.666666666666666,-31.666666666666668,-15.083333333333334,-25.25,6.083333333333333,7017114,7017114,0,641541.8546433226
"2021-02-10","Drenthe","Netherlands",19501,-46.857142857142854,-7.777777777777778,21.5,-49.111111111111114,-33.61538461538461,12.615384615384615,571145,504736,66409,17921.224500566994
"2021-02-10","Durango","Mexico",29699,-25,-4,-37,-14,-25,9,724707,640115,84592,32307.775897292257
"2021-02-10","Emilia-Romagna","Italy",230078,-26,-5.6,-20.6,-34.5,-16.9,8.9,2834463,1561640,1272823,214781.85100015262
"2021-02-10","Extremadura","Spain",67762,-50.333333333333336,-4.333333333333333,-23.666666666666668,-17,-15,7,2320507,1377229,943278,58048.95710428189
"2021-02-10","Flevoland","Netherlands",24486,-50.6,-4.5,37,-52.2,-40.714285714285715,15.571428571428571,571145,504736,66409,24409.419794017413
"2021-02-10","Friesland","Netherlands",23059,-48.714285714285715,-10.2,39,-39.083333333333336,-32.578947368421055,11.714285714285714,571145,504736,66409,20743.24861667962
"2021-02-10","Fukui","Japan",528,-9,0,-8,-2,-5,2,0,0,0,926.9319972097501
"2021-02-10","Ehime","Japan",1026,-7,-2,-8,-24,-6,2,0,0,0,1194.0597126122177
"2021-02-10","Colima","Mexico",9925,-29,-11,-33,-26,-24,7,724707,640115,84592,11602.895584737153
"2021-02-10","Fukuoka","Japan",17077,-13,-3,0,-30,-10,4,0,0,0,10383.685188313455
"2021-02-10","Guerrero","Mexico",33211,-35,-13,-39,-39,-34,10,724707,640115,84592,39942.27266104212
"2021-02-10","Guanajuato","Mexico",112530,-34,-8,-45,-29,-26,10,724707,640115,84592,114558.32667012638
"2021-02-10","Groningen","Netherlands",23200,-51.714285714285715,-2.875,40.5,-47.111111111111114,-33.22222222222222,12.181818181818182,571145,504736,66409,21695.36239285262
"2021-02-10","Goa","India",54068,-23.666666666666668,9,-25,-7.666666666666667,-15.333333333333334,6.333333333333333,7017114,7017114,0,61276.47993555779
"2021-02-10","Gujarat","India",264165,-20.12121212121212,11.266666666666667,-23.41176470588235,-11.617647058823529,-12.264705882352942,6.090909090909091,7017114,7017114,0,259180.5285822575
"2021-02-10","Gifu","Japan",4408,-11,-1,-19,-19,-8,4,0,0,0,1840.7065306387897
"2021-02-10","Gelderland","Netherlands",115176,-53.214285714285715,-2.441860465116279,8.142857142857142,-47.09090909090909,-35.01851851851852,14.152173913043478,571145,504736,66409,109364.03751057504
"2021-02-10","Galicia","Spain",105475,-54.6,-0.4,-5.2,-41,-22.6,10.2,2320507,1377229,943278,95834.03400836309
"2021-02-10","Fukushima","Japan",1794,-5,3,-1,-23,-4,2,0,0,0,1391.708436305663
"2021-02-11","Nuevo Leon","Mexico",111419,-33,-9,-54,-48,-31,14,725447,640115,85332,67122.23910326847
"2021-02-11","Nova Scotia","Canada",1590,-10.222222222222221,-2.2222222222222223,3,-52.333333333333336,-14.133333333333333,6.888888888888889,1186689,942589,244100,-4861.135597253887
"2021-02-11","Northern Territory","Australia",102,5.25,12,-1,-47.75,13.5,1,0,0,0,-1050.815600816406
"2021-02-11","Newfoundland and Labrador","Canada",610,-38.25,-23.5,-47,-65,-17.22222222222222,14,1186689,942589,244100,-368.1845090780952
"2021-02-11","New South Wales","Australia",5134,-6.911764705882353,0.5166666666666667,6.803571428571429,-27.254545454545454,-5.056818181818182,3.5238095238095237,0,0,0,3233.5692748311753
"2021-02-11","New Brunswick","Canada",1377,-23.9,-10.3,-27.333333333333332,-50.25,-24,11.7,1186689,942589,244100,-2907.7691653169445
"2021-02-11","Nayarit","Mexico",10407,-36,-12,-47,-32,-32,10,725447,640115,85332,4876.102521694519
"2021-02-11","Oaxaca","Mexico",37576,-31,-15,-49,-29,-31,11,725447,640115,85332,19178.535692534748
"2021-02-11","Niigata","Japan",987,20,3,-17,-37,-59,20,0,0,0,328.9546292500492
"2021-02-11","Odisha","India",335984,-12.172413793103448,19.892857142857142,2.8,-5.233333333333333,-9.709677419354838,7.833333333333333,7505010,7505010,0,319602.2736365293
"2021-02-11","Punjab","Pakistan",162875,10,30,12,17,-2,-3,27228,27228,0,149493.73299827854
"2021-02-11","Okayama","Japan",2428,11,1,29,-36,-53,16,0,0,0,603.0238592613543
"2021-02-11","Okinawa","Japan",7969,-24,-22,-65,-57,-54,22,0,0,0,3826.516842231281
"2021-02-11","Ontario","Canada",287262,-35.19565217391305,-4.869565217391305,-13.08,-52.9,-29.73076923076923,14.382978723404255,1186689,942589,244100,212335.13397389324
"2021-02-11","Osaka","Japan",45619,-10,-3,12,-55,-62,19,0,0,0,7012.7966128100925
